FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
130095,BC-2002-2002-K40192,BC, ,2002-K40192, ,50.3425,-119.1484,2002,7,25,2002-07-25 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00
404891,ON-1989-KEN50,ON, ,KEN50, ,49.87,-94.84800000000001,1989,7,25,1989-07-25 00:00:00,,1989-07-26 00:00:00,0.10000000149,N,N,IFR,SUP, , , , , ,2023-05-06 00:00:00
162758,AB-1984-DG3-033-84,AB, ,DG3-033-84,DG3033,54.7158,-117.4977,1984,8,6,1984-08-06 00:00:00,,1984-08-07 00:00:00,0.0,N,N,Ground, , , , , , ,2020-06-01 00:00:00
10758,BC-2022-2022-N41672,BC, ,2022-N41672, ,51.2035,-118.1584,2022,8,19,2022-08-19 00:00:00,,2022-08-24 00:00:00,0.009,N,N,Fire,FUL, , ,NW Ridge Mt. Sale, , ,2023-04-17 00:00:00
88478,BC-1986-1986-C20050,BC, ,1986-C20050, ,52.046,-122.219,1986,8,10,1986-08-10 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00
190535,AB-2006-GWF077,AB, ,GWF077, ,55.088441,-116.990847,2006,6,6,2006-06-06 00:00:00,,2006-06-08 00:00:00,0.01,H,H,Surface, , , ,fueltype:, , ,2020-06-01 00:00:00
272862,MB-2003-117372,MB, ,117372, ,55.5925391,-99.6716555,2003,0,0,,,,0.493,U,U, , , , , ,used firepoly centroid for MB 2000-2004, ,
287459,QC-2019-20191080042,QC, ,20191080042, ,48.1268,-69.183,2019,5,14,2019-05-14 00:00:00,,2019-05-14 00:00:00,0.0,H,H, , ,Intensive, , , , ,2020-06-15 00:00:00
178115,AB-1963-DR3-008-63,AB, ,DR3-008-63,DR3008,52.4337,-116.054,1963,11,8,1963-11-08 00:00:00,,,0.0,H,H, , , , , , , ,2020-06-01 00:00:00
249470,MB-2015-NW052,MB, ,NW052, ,55.131944,-99.721111,2015,7,13,2015-07-13 00:00:00,,2015-07-27 00:00:00,450.0,N,N, ,FUL,FUL-R (High Priority), ,Actioned, , ,2016-02-09 00:00:00
432697,ON-2017-SLK81,ON, ,SLK81, ,51.452,-91.2506,2017,8,8,2017-08-08 00:00:00,,2017-08-12 00:00:00,0.5,N,N,IFR,FUL, , , , , ,2023-05-06 00:00:00
81963,BC-1982-1982-R30031,BC, ,1982-R30031, ,54.611,-127.291,1982,9,17,1982-09-17 00:00:00,,,2.3,H,H,Fire, , , , , , ,2020-05-05 00:00:00
